ID;Label;Node Type;Links-/Rechts-Schema;Stimmenanteil in %
Alternative fuer Deutschland;AfD;Partei;rechts;15.9
Buendnis Sahra Wagenknecht;BSW;Partei;links;6.2
Christlich Demokratische/Soziale Union;CDU/CSU;Partei;rechts;30
Die Linke;Die Linke;Partei;links;2.7
Die PARTEI;Die PARTEI;Partei;links;1.9
Familien-Partei Deutschlands;Familien-Partei;Partei;links;0.6
Freie Demokratische Partei;FDP;Partei;rechts;5.2
Freie Waehler;FW;Partei;rechts;2.7
Buendnis 90/Die Gruenen;Gruene;Partei;links;11.9
Oekologisch-Demokratische Partei;OEDP;Partei;links;0.6
Partei des Fortschritts;PDF;Partei;links;0.6
Sozialdemokratische Partei Deutschlands;SPD;Partei;links;13.9
Partei Mensch Umwelt Tierschutz;Tierschutzpartei;Partei;links;1.4
Volt Deutschland;Volt;Partei;links;2.6
